Data underlying the calculation of the 2009 Global Hunger Index ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Proportion of undernourished in the population (%),,,,Prevalence of underweight in children under 5 years (%),,,,Under 5 mortality rate (%),,GHI,,,,,,
Country,1990-1992,,2003-2007,,1988-1992,,2002-2007,,1990,2007,1990,2009,,,,,
Afghanistan,-,,-,,-,,32.8,,26.0,25.7,-,-,,,,,
Albania,11.0,***,5.0,***,10.4,***,6.6,,4.6,1.5,8.7,<5,,,,,
Algeria,4.0,***,3.0,***,8.0,,3.0,,6.9,3.7,6.3,<5,,,,,
Angola,66.0,,46.0,,32.6,***,14.2,***,25.8,15.8,41.5,25.3,,,,,
Argentina,1.0,***,1.0,***,3.9,***,2.9,,2.9,1.6,<5,<5,,,,,
Armenia,-,,21.0,,3.6,***,4.2,,5.6,2.4,-,9.2,,,,,
Azerbaijan,-,,12.0,,11.2,***,7.7,,9.8,3.9,-,7.9,,,,,
Bahrain,-,,-,,6.3,,4.5,***,1.9,1.0,-,-,,,,,
Bangladesh,36.0,,27.0,,56.5,,41.0,,15.1,6.1,35.9,24.7,,,,,
Belarus*,-,,3.0,***,2.4,***,1.3,,2.4,1.3,-,<5,,,,,
Benin,28.0,,19.0,,25.3,***,20.2,,18.4,12.3,23.9,17.2,,,,,
Bhutan,-,,-,,34.0,,-,,14.8,8.4,-,-,,,,,
Bolivia,24.0,,22.0,,9.7,,6.1,,12.5,5.7,15.4,11.3,,,,,
Bosnia and Herzegovina,-,,3.0,***,3.3,***,1.6,,2.2,1.4,-,<5,,,,,
Botswana,20.0,,26.0,,17.9,***,6.4,***,5.7,4.0,14.5,12.1,,,,,
Brazil,10.0,,6.0,,6.1,,2.2,,5.8,2.2,7.3,<5,,,,,
Bulgaria,4.0,***,9.0,***,3.6,***,2.5,,1.8,1.2,<5,<5,,,,,
Burkina Faso,14.0,,10.0,,30.8,***,32.0,,20.6,19.1,21.8,20.4,,,,,
Burundi,44.0,,63.0,,33.6,***,35.0,,18.9,18.0,32.2,38.7,,,,,
Cambodia,38.0,,26.0,,45.2,***,28.4,,11.9,9.1,31.7,21.2,,,,,
Cameroon,34.0,,23.0,,18.0,,16.0,,13.9,14.8,22.0,17.9,,,,,
Central African Republic,47.0,,43.0,,25.8,***,24.0,,17.1,17.2,30.0,28.1,,,,,
Chad,59.0,,39.0,,33.9,***,33.9,,20.1,20.9,37.7,31.3,,,,,
Chile,7.0,,2.0,***,1.0,***,0.6,,2.1,0.9,<5,<5,,,,,
China,15.0,,9.0,,15.3,,6.0,,4.5,2.2,11.6,5.7,,,,,
Colombia,15.0,,10.0,,8.8,,5.1,,3.5,2.0,9.1,5.7,,,,,
Comoros,40.0,,52.0,,16.2,,22.1,,12.0,6.6,22.7,26.9,,,,,
"Congo, Dem. Rep.",29.0,,76.0,,27.5,***,25.1,,20.0,16.1,25.5,39.1,,,,,
"Congo, Rep.",40.0,,22.0,,12.5,***,11.8,,10.4,12.5,21.0,15.4,,,,,
Costa Rica,3.0,***,4.0,***,2.5,,1.1,***,1.8,1.1,<5,<5,,,,,
Croatia,-,,4.0,***,0.5,***,0.2,***,1.3,0.6,-,<5,,,,,
Cuba,5.0,,1.0,***,4.6,***,3.5,,1.3,0.7,<5,<5,,,,,
C™te d'Ivoire,15.0,,14.0,,18.0,***,16.7,,15.1,12.7,16.0,14.5,,,,,
Djibouti,60.0,,32.0,,20.2,,24.0,,17.5,12.7,32.6,22.9,,,,,
Dominican Republic,27.0,,21.0,,8.4,,3.1,,6.6,3.8,14.0,9.3,,,,,
Ecuador,24.0,,15.0,,9.5,***,6.2,,5.7,2.2,13.1,7.8,,,,,
"Egypt, Arab Rep.",3.0,***,3.0,***,9.1,,6.0,,9.3,3.6,7.1,<5,,,,,
El Salvador,9.0,,10.0,,11.1,,6.1,,6.0,2.4,8.7,6.2,,,,,
Eritrea,67.0,,68.0,,-,,34.5,,14.7,7.0,-,36.5,,,,,
Estonia,-,,4.0,***,2.2,***,1.2,***,1.8,0.6,-,<5,,,,,
Ethiopia,71.0,,46.0,,39.2,,34.6,,20.4,11.9,43.5,30.8,,,,,
Fiji,8.0,,2.0,***,7.7,***,3.7,***,2.2,1.8,6.0,<5,,,,,
Gabon,5.0,,3.0,***,8.9,***,8.5,***,9.2,9.1,7.7,6.9,,,,,
"Gambia, The",20.0,,30.0,,19.6,***,15.8,,15.3,10.9,18.3,18.9,,,,,
Georgia,-,,13.0,,1.7,***,2.3,,4.7,3.0,-,6.1,,,,,
Ghana,34.0,,9.0,,24.4,,13.9,,12.0,11.5,23.5,11.5,,,,,
Guatemala,14.0,,16.0,,23.6,***,17.7,,8.2,3.9,15.3,12.5,,,,,
Guinea,19.0,,17.0,,25.7,***,22.5,,23.1,15.0,22.6,18.2,,,,,
Guinea-Bissau,20.0,,32.0,,20.8,***,17.4,,24.0,19.8,21.6,23.1,,,,,
Guyana,18.0,,6.0,,16.4,***,10.0,,8.8,6.0,14.4,7.3,,,,,
Haiti,63.0,,58.0,,22.5,,18.9,,15.2,7.6,33.6,28.2,,,,,
Honduras,19.0,,12.0,,15.8,,8.6,,5.8,2.4,13.5,7.7,,,,,
India,24.0,,21.0,,59.5,,43.5,,11.7,7.2,31.7,23.9,,,,,
Indonesia,19.0,,17.0,,31.0,,24.4,,9.1,3.1,19.7,14.8,,,,,
"Iran, Islamic Rep.*",3.0,***,4.0,***,16.1,***,6.2,***,7.2,3.3,8.8,<5,,,,,
Iraq,-,,-,,10.4,,7.1,,5.3,4.4,-,-,,,,,
Jamaica,11.0,,5.0,,5.2,,3.1,,3.3,3.1,6.5,<5,,,,,
Jordan,3.0,***,4.0,***,4.8,,3.6,,4.0,2.4,<5,<5,,,,,
Kazakhstan,-,,2.0,***,2.8,***,4.9,,6.0,3.2,-,<5,,,,,
Kenya,33.0,,32.0,,17.3,***,16.5,,9.7,12.1,20.0,20.2,,,,,
Kuwait,20.0,,5.0,***,7.1,***,0.5,***,1.5,1.1,9.5,<5,,,,,
Kyrgyz Republic,-,,3.0,***,4.4,***,2.7,,7.4,3.8,-,<5,,,,,
Lao PDR,27.0,,19.0,,44.3,***,31.0,,16.3,7.0,29.2,19.0,,,,,
Latvia,-,,3.0,***,1.8,***,1.1,***,1.7,0.9,-,<5,,,,,
Lebanon,3.0,***,2.0,***,4.6,***,3.5,,3.7,2.9,<5,<5,,,,,
Lesotho,15.0,,15.0,,13.8,,12.5,,10.2,8.4,13.0,12.0,,,,,
Liberia,30.0,,40.0,,18.4,***,20.4,,20.5,13.3,23.0,24.6,,,,,
Libya*,1.0,***,2.0,***,5.9,***,2.9,***,4.1,1.8,<5,<5,,,,,
Lithuania,-,,1.0,***,2.2,***,1.4,***,1.6,0.8,-,<5,,,,,
"Macedonia, FYR",-,,4.0,***,2.5,***,2.0,,3.8,1.7,-,<5,,,,,
Madagascar,32.0,,37.0,,35.5,,36.8,,16.8,11.2,28.1,28.3,,,,,
Malawi,45.0,,29.0,,24.4,,15.5,,20.9,11.1,30.1,18.5,,,,,
Malaysia,2.0,***,3.0,***,22.1,,7.0,,2.2,1.1,8.8,<5,,,,,
Mali,14.0,,11.0,,33.6,***,27.9,,25.0,19.6,24.2,19.5,,,,,
Mauritania,10.0,,8.0,,43.2,,25.0,,13.0,11.9,22.1,15.0,,,,,
Mauritius,7.0,,6.0,,12.9,***,12.7,***,2.4,1.5,7.4,6.7,,,,,
Mexico,5.0,***,4.0,***,13.9,,3.4,,5.2,3.5,8.0,<5,,,,,
Moldova,-,,7.0,***,2.4,***,3.2,,3.7,1.8,-,<5,,,,,
Mongolia,30.0,,29.0,,10.8,,5.3,,9.8,4.3,16.9,12.9,,,,,
Morocco,5.0,,4.0,***,8.1,,9.9,,8.9,3.4,7.3,5.8,,,,,
Mozambique,59.0,,38.0,,28.5,***,21.2,,20.1,16.8,35.9,25.3,,,,,
Myanmar*,44.0,,19.0,,32.5,,29.6,,13.0,10.3,29.8,19.6,,,,,
Namibia,29.0,,19.0,,21.5,,17.5,,8.7,6.8,19.7,14.4,,,,,
Nepal,21.0,,15.0,,47.6,***,38.8,,14.2,5.5,27.6,19.8,,,,,
Nicaragua,52.0,,22.0,,11.3,***,6.1,,6.8,3.5,23.4,10.5,,,,,
Niger,38.0,,29.0,,41.0,,39.9,,30.4,17.6,36.5,28.8,,,,,
Nigeria,15.0,,9.0,,35.1,,27.2,,23.0,18.9,24.4,18.4,,,,,
North Korea*,21.0,,32.0,,26.9,***,17.8,,5.5,5.5,17.8,18.4,,,,,
Oman,-,,-,,21.4,,8.8,***,3.2,1.2,-,-,,,,,
Pakistan,22.0,,23.0,,39.0,,31.0,,13.2,9.0,24.7,21.0,,,,,
Panama,18.0,,17.0,,8.9,***,4.3,***,3.4,2.3,10.1,7.9,,,,,
Papua New Guinea,-,,-,,21.8,***,17.0,***,9.4,6.5,-,-,,,,,
Paraguay,16.0,,11.0,,2.8,,3.0,,4.1,2.9,7.6,5.6,,,,,
Peru,28.0,,15.0,,8.8,,5.0,,7.8,2.0,14.9,7.3,,,,,
Philippines,21.0,,16.0,,29.9,,20.7,,6.2,2.8,19.0,13.2,,,,,
Qatar,-,,-,,-,,-,,2.6,1.5,-,-,,,,,
Romania,3.0,***,0.0,***,5.0,,3.5,,3.2,1.5,<5,<5,,,,,
Russian Federation,-,,2.0,***,2.4,***,1.6,***,2.7,1.5,-,<5,,,,,
Rwanda,45.0,,40.0,,24.3,,18.0,,19.5,18.1,29.6,25.4,,,,,
Saudi Arabia,2.0,***,1.0,***,12.4,***,5.3,,4.4,2.5,6.3,<5,,,,,
Senegal,28.0,,26.0,,19.6,,14.5,,14.9,11.4,20.8,17.3,,,,,
Serbia and Montenegro,-,,8.0,***,-,,1.8,,-,0.8,-,<5,,,,,
Sierra Leone,45.0,,47.0,,25.4,,28.3,,29.0,26.2,33.1,33.8,,,,,
Slovak Republic,-,,5.0,***,-,,1.0,***,1.5,0.8,-,<5,,,,,
Somalia,-,,-,,-,,32.8,,20.3,14.2,-,-,,,,,
South Africa,6.0,***,5.0,***,9.3,***,10.1,,6.4,5.9,7.2,7.0,,,,,
Sri Lanka,27.0,,21.0,,33.2,***,18.1,***,3.2,2.1,21.1,13.7,,,,,
Sudan*,31.0,,21.0,,35.4,***,27.0,,12.5,10.9,26.3,19.6,,,,,
Suriname,11.0,,7.0,,12.8,***,7.0,,5.1,2.9,9.6,5.6,,,,,
Swaziland,12.0,,18.0,,11.1,***,6.1,,9.6,9.1,10.9,11.1,,,,,
Syrian Arab Republic,4.0,***,4.0,***,14.5,***,10.0,,3.7,1.7,7.4,5.2,,,,,
Tajikistan,-,,34.0,,9.8,***,14.9,,11.7,6.7,-,18.5,,,,,
Tanzania,28.0,,35.0,,25.1,,16.7,,15.7,11.6,22.9,21.1,,,,,
Thailand,29.0,,17.0,,17.2,***,7.0,,3.1,0.7,16.4,8.2,,,,,
Timor-Leste,18.0,,22.0,,-,,44.6,,18.4,9.7,-,25.4,,,,,
Togo,45.0,,37.0,,23.5,,22.3,,15.0,10.0,27.8,23.1,,,,,
Trinidad and Tobago,11.0,,10.0,,6.8,***,2.8,***,3.4,3.5,7.1,5.4,,,,,
Tunisia,1.0,***,1.0,***,9.1,,2.6,***,5.2,2.1,5.1,<5,,,,,
Turkey,1.0,***,2.0,***,8.8,***,3.5,,8.2,2.3,6.0,<5,,,,,
Turkmenistan,-,,6.0,,13.7,***,8.0,,9.9,5.0,-,6.3,,,,,
Uganda,19.0,,15.0,,19.7,,16.4,,17.5,13.0,18.7,14.8,,,,,
Ukraine,-,,2.0,***,1.4,***,0.9,***,2.5,2.4,-,<5,,,,,
Uruguay,5.0,,2.0,***,6.2,***,6.0,,2.5,1.4,<5,<5,,,,,
Uzbekistan,-,,14.0,,9.7,***,4.4,,7.4,4.1,-,7.5,,,,,
"Venezuela, RB",10.0,,12.0,,6.7,,4.4,,3.2,1.9,6.6,6.1,,,,,
Vietnam,28.0,,14.0,,40.7,,20.2,,5.6,1.5,24.8,11.9,,,,,
"Yemen, Rep.",30.0,,32.0,,49.3,***,41.6,,12.7,7.3,30.7,27.0,,,,,
Zambia,40.0,,45.0,,19.5,,15.0,,16.3,17.0,25.3,25.7,,,,,
Zimbabwe,40.0,,40.0,,8.0,,14.0,,9.5,9.0,19.2,21.0,,,,,
"Note: For coutnries with an *, data underlying the GHI are unreliable. *** indicates authors' estimates. ",,,,,,,,,,,,,,,,,